sample,metric,contrast,group1,group2,group1_label,group2_label,n_nuclei_g1,n_nuclei_g2,median_g1,median_g2,diff_median,p_value,p_adj_BH,sig,sig_adj
ASC399cse,tail_length,SC vs SX,SC,SX,SC: SFN pre / Control,SX: SFN pre / Acute CSE,30,16,46.5,31,15.5,0.278316963,0.417475445,ns,ns
ASC399cse,olive_moment,SC vs XC,SC,XC,SC: SFN pre / Control,XC: CSE pre / Control,30,43,7.652946167,23.24768368,-15.59473752,0.071937598,0.154151996,ns,ns
ASC399cse,tail_dna_percent,SC vs XC,SC,XC,SC: SFN pre / Control,XC: CSE pre / Control,30,43,19.2645252,48.40876184,-29.14423665,0.041854587,0.0896884,*,ns
ASC399cse,tail_length,SC vs XC,SC,XC,SC: SFN pre / Control,XC: CSE pre / Control,30,43,46.5,72,-25.5,0.171301629,0.321190555,ns,ns
ASC399cse,olive_moment,SC vs XX,SC,XX,SC: SFN pre / Control,XX: CSE pre / Acute CSE,30,15,7.652946167,6.156374254,1.496571913,0.214984905,0.358308175,ns,ns
ASC399cse,tail_dna_percent,SC vs XX,SC,XX,SC: SFN pre / Control,XX: CSE pre / Acute CSE,30,15,19.2645252,16.78547869,2.479046511,0.366582209,0.549873314,ns,ns
ASC399cse,tail_length,SC vs XX,SC,XX,SC: SFN pre / Control,XX: CSE pre / Acute CSE,30,15,46.5,27,19.5,0.151826122,0.321190555,ns,ns
ASC399cse,olive_moment,SX vs XC,SX,XC,SX: SFN pre / Acute CSE,XC: CSE pre / Control,16,43,5.304451868,23.24768368,-17.94323181,0.017385347,0.093638912,*,ns
ASC399cse,tail_dna_percent,SX vs XC,SX,XC,SX: SFN pre / Acute CSE,XC: CSE pre / Control,16,43,17.20248023,48.40876184,-31.20628162,0.023876776,0.0896884,*,ns
ASC399cse,tail_length,SX vs XC,SX,XC,SX: SFN pre / Acute CSE,XC: CSE pre / Control,16,43,31,72,-41,0.046041969,0.115104923,*,ns
ASC399cse,olive_moment,SX vs XX,SX,XX,SX: SFN pre / Acute CSE,XX: CSE pre / Acute CSE,16,15,5.304451868,6.156374254,-0.851922386,0.736876898,0.736876898,ns,ns
ASC399cse,tail_dna_percent,SX vs XX,SX,XX,SX: SFN pre / Acute CSE,XX: CSE pre / Acute CSE,16,15,17.20248023,16.78547869,0.417001537,1,1,ns,ns
ASC399cse,tail_length,SX vs XX,SX,XX,SX: SFN pre / Acute CSE,XX: CSE pre / Acute CSE,16,15,31,27,4,0.649314325,0.695693919,ns,ns
ASC399cse,olive_moment,XC vs XX,XC,XX,XC: CSE pre / Control,XX: CSE pre / Acute CSE,43,15,23.24768368,6.156374254,17.09130943,0.025256282,0.093638912,*,ns
ASC399cse,tail_dna_percent,XC vs XX,XC,XX,XC: CSE pre / Control,XX: CSE pre / Acute CSE,43,15,48.40876184,16.78547869,31.62328316,0.039409639,0.0896884,*,ns
ASC399cse,tail_length,XC vs XX,XC,XX,XC: CSE pre / Control,XX: CSE pre / Acute CSE,43,15,72,27,45,0.042005421,0.115104923,*,ns
